solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M106,F252,M06 แปลงที่ 36 -4216343,14.779476064209,99.790114419679,6.91,Sweeper,2023-03-05,2023-03-08,2023-03-08,0.006,08:00,00:00,10:50,00:59,11:49,8.292,8292.0
S1,M106,F251,M06 แปลงที่ 35 -4216117,14.778885350271,99.790735736756,6.24,Sweeper,2023-03-04,2023-03-08,2023-03-08,0.05,08:00,00:00,11:49,00:54,13:43,7.488,7488.0
S1,M106,F255,M06 แปลงที่ 39 -4216077,14.778270278396,99.789797770338,6.54,Sweeper,2023-03-07,2023-03-08,2023-03-08,0.031,08:00,00:00,13:43,00:56,14:39,7.848,7848.0
S1,M106,F247,M06 แปลงที่ 31 -42160040,14.780294514429,99.792392927075,4.86,Sweeper,2023-03-02,2023-03-08,2023-03-08,0.66,08:00,00:02,14:41,00:44,15:26,5.832,5832.0
S1,M106,F249,M06 แปลงที่ 33 -42160034,14.778931499769,99.79285585377,9.79,Sweeper,2023-03-03,2023-03-08,2023-03-08,0.153,08:00,00:00,15:26,01:19,16:45,11.748,11748.0
S1,M106,F248,M06 แปลงที่ 32 -42160071,14.777542957889,99.792727692082,5.97,Sweeper,2023-03-02,2023-03-09,2023-03-08,0.152,08:00,00:00,16:46,00:52,08:38,7.164,7164.0
S1,M106,F253,M06 แปลงที่ 37 -42160044,14.777743098846,99.791039230741,9.37,Sweeper,2023-03-05,2023-03-09,2023-03-09,0.106,08:00,00:00,08:38,01:16,09:54,11.244,11244.0
S1,M106,F254,M06 แปลงที่ 38 -42160050,14.776947893842,99.790966111847,6.97,Sweeper,2023-03-06,2023-03-09,2023-03-09,0.004,08:00,00:00,09:54,00:59,10:54,8.364,8364.0
S1,M109,SS,จุดเริ่มต้น,14.7518,99.7934,0.0,Baler,2023-02-05,2023-02-10,2023-02-10,0.0,00:00,00:00,01:16,00:00,01:16,0.0,0.0
S1,M109,F221,M06 แปลงที่ 5 -42160020,14.78058264753,99.805323118006,9.31,Baler,2023-02-10,2023-02-10,2023-02-10,0.0,09:15,00:10,09:16,01:11,10:27,11.172,11172.0
S1,M109,F220,M06 แปลงที่ 4 -42160017,14.781933212904,99.804626469986,10.0,Baler,2023-02-10,2023-02-10,2023-02-10,1.287,10:40,00:04,10:40,01:15,11:55,12.0,12000.0
S1,M109,F218,M06 แปลงที่ 2 -42160086,14.782386226441,99.803268969525,12.71,Baler,2023-02-10,2023-02-10,2023-02-10,2.617,12:27,00:08,13:28,01:31,14:59,15.252,15252.0
S1,M109,F217,M06 แปลงที่ 1 -42160026,14.782584142021,99.803938559077,8.88,Baler,2023-02-10,2023-02-10,2023-02-10,0.007,13:40,00:00,14:59,01:08,16:07,10.656,10656.0
S1,M109,F219,M06 แปลงที่ 3 -42160108,14.783258869635,99.804578679598,7.7,Baler,2023-02-10,2023-02-11,2023-02-10,0.35,08:00,00:01,16:08,01:01,08:10,9.24,9240.0
S1,M109,F222,M06 แปลงที่ 6 -42160116,14.782601687452,99.805388028404,12.02,Baler,2023-02-11,2023-02-11,2023-02-11,0.336,09:34,00:01,09:35,01:27,11:02,14.424,14424.0
S1,M109,F224,M06 แปลงที่ 8 -42160022,14.779802588473,99.808443733269,9.89,Baler,2023-02-12,2023-02-12,2023-02-12,0.78,09:19,00:02,09:20,01:14,10:34,11.868,11868.0
S1,M109,F223,M06 แปลงที่ 7 -42160123,14.780752107283,99.808720883168,6.43,Baler,2023-02-11,2023-02-12,2023-02-12,0.094,10:32,00:00,10:34,00:54,11:28,7.716,7716.0
S1,M109,F232,M06 แปลงที่ 16 -42160128,14.781636448617,99.807246435313,3.55,Baler,2023-02-20,2023-02-20,2023-02-20,0.064,12:46,00:00,13:46,00:36,14:23,4.26,4260.0
S1,M109,F225,M06 แปลงที่ 9 -42160038,14.781580772572,99.809022973283,9.52,Baler,2023-02-20,2023-02-20,2023-02-20,0.033,08:00,00:00,15:04,01:12,16:16,11.424,11424.0
S1,M109,F226,M06 แปลงที่ 10 -42160004,14.785233840102,99.809501854737,12.17,Baler,2023-02-21,2023-02-21,2023-02-21,1.427,09:44,00:04,09:45,01:28,11:13,14.604,14604.0
S1,M109,F227,M06 แปลงที่ 11 -42160029,14.786192637854,99.807580727554,18.72,Baler,2023-02-21,2023-02-21,2023-02-21,0.582,12:08,00:02,13:09,02:07,15:16,22.464,22464.0
S1,M109,F228,M06 แปลงที่ 12 -42160101,14.785634693044,99.808059924664,12.07,Baler,2023-02-21,2023-02-21,2023-02-21,1.068,08:04,00:03,15:19,01:27,16:46,14.484,14484.0
S1,M109,F233,M06 แปลงที่ 17 -42160141,14.782117897738,99.807899768941,2.11,Baler,2023-02-20,2023-02-22,2023-02-21,0.265,08:00,00:01,16:47,00:28,08:15,2.532,2532.0
S1,M109,F234,M06 แปลงที่ 18 -42160121,14.781353339143,99.808004428368,3.4,Baler,2023-02-20,2023-02-22,2023-02-22,0.083,12:11,00:00,08:15,00:35,08:51,4.08,4080.0
S1,M109,F230,M06 แปลงที่ 14 -42160013,14.780833724681,99.807631073308,7.66,Baler,2023-02-20,2023-02-22,2023-02-22,0.1,11:37,00:00,08:51,01:01,09:52,9.192,9192.0
S1,M109,F231,M06 แปลงที่ 15 -42160142,14.780472589442,99.807140819366,2.1,Baler,2023-02-20,2023-02-22,2023-02-22,0.0,10:32,00:00,09:52,00:28,10:19,2.52,2520.0
S1,M109,F235,M06 แปลงที่ 19 -42160088,14.781293042979,99.806331462076,16.74,Baler,2023-02-20,2023-02-22,2023-02-22,0.0,10:08,00:00,10:19,01:55,13:15,20.088,20088.0
S1,M109,F229,M06 แปลงที่ 13 -42160127,14.779593312897,99.807373890946,5.76,Baler,2023-02-18,2023-02-22,2023-02-22,0.175,08:50,00:01,13:15,00:50,14:05,6.912,6912.0
S1,M109,F236,M06 แปลงที่ 20 -42160020,14.78058264753,99.805323118006,9.31,Baler,2023-02-21,2023-02-22,2023-02-22,0.659,13:34,00:02,14:07,01:11,15:18,11.172,11172.0
S1,M109,F241,M06 แปลงที่ 25 -4216337,14.782532071176,99.792284259348,3.95,Baler,2023-02-28,2023-02-28,2023-02-28,1.906,12:42,00:06,13:42,00:39,14:21,4.74,4740.0
S1,M109,F245,M06 แปลงที่ 29 -4216081,14.790088437158,99.790060860446,19.3,Baler,2023-02-28,2023-02-28,2023-02-28,1.053,10:26,00:03,14:24,02:11,16:35,23.16,23160.0
S1,M109,F244,M06 แปลงที่ 28 -42160021,14.79051256738,99.792555100711,19.35,Baler,2023-02-26,2023-03-01,2023-02-28,0.844,10:26,00:03,16:38,02:11,09:49,23.22,23220.0
S1,M109,F239,M06 แปลงที่ 23 -42160089,14.782702550417,99.791775625783,7.53,Baler,2023-02-28,2023-03-01,2023-03-01,0.911,11:32,00:03,09:52,01:00,10:52,9.036,9036.0
S1,M109,F237,M06 แปลงที่ 21 -42160090,14.782704448621,99.791350557022,2.93,Baler,2023-02-28,2023-03-01,2023-03-01,0.033,12:03,00:00,10:52,00:33,11:24,3.516,3516.0
S1,M109,F242,M06 แปลงที่ 26 -42160122,14.781414046216,99.789788619489,7.55,Baler,2023-03-01,2023-03-01,2023-03-01,0.682,12:07,00:02,13:08,01:00,14:08,9.06,9060.0
S1,M109,F246,M06 แปลงที่ 30 -42160012,14.780648127574,99.791307693903,9.21,Baler,2023-03-01,2023-03-01,2023-03-01,0.281,09:15,00:01,14:09,01:10,15:19,11.052,11052.0
S1,M109,F240,M06 แปลงที่ 24 -42160085,14.781529014015,99.791991874587,4.04,Baler,2023-02-28,2023-03-01,2023-03-01,0.079,13:21,00:00,15:19,00:39,15:59,4.848,4848.0
S1,M109,F238,M06 แปลงที่ 22 -42160083,14.781547888688,99.791334783658,1.74,Baler,2023-02-28,2023-03-01,2023-03-01,0.07,13:44,00:00,15:59,00:25,16:24,2.088,2088.0
S1,M109,F243,M06 แปลงที่ 27 -42160147,14.779220749486,99.789073323403,13.74,Baler,2023-03-01,2023-03-02,2023-03-01,0.322,11:02,00:01,16:25,01:37,09:03,16.488,16488.0
S1,M109,F255,M06 แปลงที่ 39 -4216077,14.778270278396,99.789797770338,6.54,Baler,2023-03-08,2023-03-08,2023-03-08,0.022,13:39,00:00,14:39,00:54,15:34,7.848,7848.0
S1,M109,F251,M06 แปลงที่ 35 -4216117,14.778885350271,99.790735736756,6.24,Baler,2023-03-08,2023-03-08,2023-03-08,0.031,12:43,00:00,15:34,00:52,16:26,7.488,7488.0
S1,M109,F252,M06 แปลงที่ 36 -4216343,14.779476064209,99.790114419679,6.91,Baler,2023-03-08,2023-03-09,2023-03-08,0.05,11:49,00:00,16:26,00:56,08:23,8.292,8292.0
S1,M109,F250,M06 แปลงที่ 34 -42160035,14.779376750379,99.791184662514,10.48,Baler,2023-03-08,2023-03-09,2023-03-09,0.006,10:50,00:00,08:23,01:18,09:41,12.576,12576.0
S1,M109,F247,M06 แปลงที่ 31 -42160040,14.780294514429,99.792392927075,4.86,Baler,2023-03-08,2023-03-09,2023-03-09,0.573,08:00,00:02,09:42,00:44,10:27,5.832,5832.0
S1,M109,F249,M06 แปลงที่ 33 -42160034,14.778931499769,99.79285585377,9.79,Baler,2023-03-08,2023-03-09,2023-03-09,0.153,08:00,00:00,10:27,01:14,11:41,11.748,11748.0
S1,M109,F248,M06 แปลงที่ 32 -42160071,14.777542957889,99.792727692082,5.97,Baler,2023-03-09,2023-03-09,2023-03-09,0.152,08:37,00:00,11:41,00:51,13:32,7.164,7164.0
