solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M125,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Truck,2023-01-06,2023-01-08,2023-01-08,0.0,00:00,00:00,04:32,00:00,04:32,0.0,0.0
S1,M125,F258,M33 แปลงที่ 2 -40050029,14.836489496944,99.912813779069,6.85,Truck,2023-01-06,2023-01-08,2023-01-08,0.0,08:00,00:03,13:32,00:47,14:19,8.22,8220.0
S1,M125,F259,M33 แปลงที่ 3 -40050043,14.836332418645,99.912335525212,5.43,Truck,2023-01-06,2023-01-09,2023-01-09,0.005,08:00,00:00,11:40,00:42,13:22,6.516,6516.0
S1,M125,F261,M33 แปลงที่ 5 -40050047,14.842044270278,99.910425644325,12.19,Truck,2023-01-06,2023-01-12,2023-01-12,0.969,08:00,00:03,08:33,01:09,09:41,14.628,14628.0
S1,M125,F260,M33 แปลงที่ 4 -40050065,14.831763654157,99.90584316098,17.76,Truck,2023-01-06,2023-01-12,2023-01-12,1.168,08:00,00:04,09:45,01:31,11:16,21.312,21312.0
S1,M125,F273,M33 แปลงที่ 17 -40050018,14.840414663885,99.90678281679,4.0,Truck,2023-01-06,2023-01-25,2023-01-25,1.37,08:00,00:04,11:05,00:36,11:41,4.8,4800.0
S1,M125,F272,M33 แปลงที่ 16 -40050071,14.839651997575,99.90635986297,8.57,Truck,2023-01-06,2023-01-25,2023-01-25,0.129,08:00,00:00,11:41,00:54,13:36,10.284,10284.0
S1,M125,F266,M33 แปลงที่ 10 -40050055,14.840947947068,99.848326821,3.75,Truck,2023-01-06,2023-01-25,2023-01-25,8.668,08:00,00:26,14:02,00:35,14:37,4.5,4500.0
S1,M125,F274,M33 แปลงที่ 18 -46110044,14.847504000123,99.896862738965,9.54,Truck,2023-01-06,2023-01-25,2023-01-25,8.688,08:00,00:26,15:47,00:58,16:45,11.448,11448.0
S1,M125,F282,M33 แปลงที่ 26 -46110075,14.845151521327,99.896450321138,10.33,Truck,2023-01-06,2023-02-02,2023-02-02,0.341,08:00,00:01,16:18,01:01,17:20,12.396,12396.0
S1,M125,F283,M33 แปลงที่ 27 -46110034,14.842357790735,99.892584917302,9.55,Truck,2023-01-06,2023-02-03,2023-02-03,0.539,08:00,00:02,15:09,00:58,16:07,11.46,11460.0
S1,M125,F280,M33 แปลงที่ 24 -46110071,14.845954613376,99.897183138955,5.69,Truck,2023-01-06,2023-02-03,2023-02-03,0.846,08:00,00:03,16:10,00:43,16:52,6.828,6828.0
S1,M125,F277,M33 แปลงที่ 21 -46110008,14.848560883203,99.89670239799,26.1,Truck,2023-01-06,2023-02-03,2023-02-03,0.252,08:00,00:01,16:53,02:04,18:57,31.32,31320.0
S1,M125,F278,M33 แปลงที่ 22 -46110044,14.847504000123,99.896862738965,9.54,Truck,2023-01-06,2023-02-03,2023-02-03,0.106,08:00,00:00,18:58,00:58,19:56,11.448,11448.0
S1,M125,F271,M33 แปลงที่ 15 -40050070,14.841762961662,99.906679711492,9.3,Truck,2023-01-06,2023-02-27,2023-02-27,2.411,08:00,00:07,13:33,00:57,14:30,11.16,11160.0
S1,M126,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Truck,2023-01-06,2023-01-07,2023-01-07,0.0,00:00,00:00,06:10,00:00,06:10,0.0,0.0
S1,M126,F257,M33 แปลงที่ 1 -40050045,14.835687687704,99.92176063851,9.58,Truck,2023-01-06,2023-01-07,2023-01-07,0.0,08:00,00:00,15:10,01:07,16:17,11.496,11496.0
S1,M126,F262,M33 แปลงที่ 6 -40050004,14.827717097623,99.879484680719,13.35,Truck,2023-01-06,2023-01-13,2023-01-13,5.245,08:00,00:16,17:26,01:30,18:56,16.02,16020.0
S1,M126,F263,M33 แปลงที่ 7 -40050051,14.827148203454,99.877875167856,11.31,Truck,2023-01-06,2023-01-20,2023-01-20,0.195,08:00,00:01,09:42,01:18,10:60,13.572,13572.0
S1,M126,F264,M33 แปลงที่ 8 -40050050,14.82646983799,99.878339093247,15.78,Truck,2023-01-06,2023-01-21,2023-01-21,0.046,08:00,00:00,09:01,01:45,10:46,18.936,18936.0
S1,M126,F265,M33 แปลงที่ 9 -40050008,14.825933478485,99.878563901562,9.56,Truck,2023-01-06,2023-01-21,2023-01-21,0.021,08:00,00:00,10:46,01:07,11:54,11.472,11472.0
S1,M126,F267,M33 แปลงที่ 11 -40050056,14.840939451215,99.848550562307,4.46,Truck,2023-01-06,2023-01-21,2023-01-21,5.657,08:00,00:17,13:11,00:37,13:47,5.352,5352.0
S1,M126,F268,M33 แปลงที่ 12 -40050013,14.836874109935,99.922862098337,7.62,Truck,2023-01-06,2023-01-21,2023-01-21,9.766,08:00,00:29,14:17,00:56,15:12,9.144,9144.0
S1,M126,F269,M33 แปลงที่ 13 -40050007,14.84633845203,99.917227277384,6.14,Truck,2023-01-06,2023-01-25,2023-01-25,3.009,08:00,00:09,13:27,00:47,14:14,7.368,7368.0
S1,M126,F270,M33 แปลงที่ 14 -40050041,14.846734121065,99.91543578105,9.75,Truck,2023-01-06,2023-01-25,2023-01-25,0.008,08:00,00:00,14:14,01:08,15:23,11.7,11700.0
S1,M126,F279,M33 แปลงที่ 23 -46110041,14.846754872957,99.897284548542,8.51,Truck,2023-01-06,2023-02-03,2023-02-03,2.552,08:00,00:08,16:18,01:01,17:19,10.212,10212.0
S1,M126,F281,M33 แปลงที่ 25 -46110040,14.846003544393,99.896376599265,3.53,Truck,2023-01-06,2023-02-03,2023-02-03,0.261,08:00,00:01,17:19,00:31,17:51,4.236,4236.0
S1,M126,F284,M33 แปลงที่ 28 -46110025,14.842234488331,99.891592243939,13.2,Truck,2023-01-06,2023-02-05,2023-02-05,0.778,08:00,00:02,09:13,01:29,10:42,15.84,15840.0
S1,M126,F276,M33 แปลงที่ 20 -40130035,14.849613062788,99.892482695199,23.48,Truck,2023-01-06,2023-02-28,2023-02-28,1.554,08:00,00:05,15:30,02:31,18:01,28.176,28176.0
S1,M126,F275,M33 แปลงที่ 19 -46110078,14.848198780852,99.885144656827,13.64,Truck,2023-01-06,2023-02-28,2023-02-28,1.287,08:00,00:04,18:05,01:32,19:37,16.368,16367.999999999998
